timestamp,open,high,low,close,volume
2023-01-01 00:00:00+00:00,12680.0,12750.0,12610.0,12630.0,62704.33826075
2023-01-01 00:15:00+00:00,12620.0,12740.0,12600.0,12740.0,49098.38962001
2023-01-01 00:30:00+00:00,12740.0,12740.0,12660.0,12690.0,26253.82196495
2023-01-01 00:45:00+00:00,12680.0,12750.0,12660.0,12740.0,33425.73779285
2023-01-01 01:00:00+00:00,12740.0,12830.0,12710.0,12750.0,46667.60810155
2023-01-01 01:15:00+00:00,12750.0,12840.0,12750.0,12800.0,37256.62715621
2023-01-01 01:30:00+00:00,12800.0,12820.0,12780.0,12790.0,40151.2845177
2023-01-01 01:45:00+00:00,12800.0,12800.0,12750.0,12790.0,24785.343542
2023-01-01 02:00:00+00:00,12770.0,12830.0,12740.0,12830.0,17569.23812425
2023-01-01 02:15:00+00:00,12830.0,12860.0,12780.0,12820.0,25573.35200401
2023-01-01 02:30:00+00:00,12820.0,12830.0,12790.0,12790.0,9380.65514009
2023-01-01 02:45:00+00:00,12800.0,12800.0,12760.0,12780.0,13141.54967915
2023-01-01 03:00:00+00:00,12770.0,12770.0,12670.0,12700.0,35824.45385706
2023-01-01 03:15:00+00:00,12700.0,12720.0,12630.0,12700.0,33338.15804915
2023-01-01 03:30:00+00:00,12700.0,12700.0,12660.0,12680.0,19470.3627075
2023-01-01 03:45:00+00:00,12690.0,12710.0,12660.0,12710.0,12013.30861335
2023-01-01 04:00:00+00:00,12700.0,12730.0,12600.0,12620.0,41374.00756994
2023-01-01 04:15:00+00:00,12620.0,12640.0,12560.0,12620.0,34362.92866881
2023-01-01 04:30:00+00:00,12620.0,12620.0,12560.0,12570.0,26615.60670268
2023-01-01 04:45:00+00:00,12580.0,12590.0,12520.0,12530.0,31083.94901097
2023-01-01 05:00:00+00:00,12530.0,12560.0,12510.0,12520.0,28789.36919329
2023-01-01 05:15:00+00:00,12520.0,12520.0,12390.0,12480.0,97665.02919809
2023-01-01 05:30:00+00:00,12480.0,12480.0,12390.0,12410.0,35625.44420131
2023-01-01 05:45:00+00:00,12420.0,12530.0,12420.0,12500.0,39562.64644464
2023-01-01 06:00:00+00:00,12500.0,12550.0,12490.0,12520.0,21472.83986403
2023-01-01 06:15:00+00:00,12520.0,12540.0,12490.0,12530.0,18421.59706804
2023-01-01 06:30:00+00:00,12530.0,12530.0,12490.0,12510.0,8586.95066102
2023-01-01 06:45:00+00:00,12510.0,12510.0,12460.0,12490.0,16350.08482126
2023-01-01 07:00:00+00:00,12470.0,12490.0,12450.0,12470.0,25551.97995131
2023-01-01 07:15:00+00:00,12460.0,12470.0,12370.0,12420.0,65672.26046127
2023-01-01 07:30:00+00:00,12410.0,12490.0,12400.0,12470.0,15468.28000002
2023-01-01 07:45:00+00:00,12470.0,12510.0,12470.0,12500.0,10564.71342127
2023-01-01 08:00:00+00:00,12500.0,12510.0,12440.0,12450.0,23141.55854177
2023-01-01 08:15:00+00:00,12450.0,12460.0,12430.0,12430.0,22776.22701611
2023-01-01 08:30:00+00:00,12430.0,12440.0,12390.0,12420.0,24215.38649822
2023-01-01 08:45:00+00:00,12420.0,12460.0,12410.0,12410.0,11939.92990581
2023-01-01 09:00:00+00:00,12410.0,12450.0,12410.0,12440.0,6992.30808037
2023-01-01 09:15:00+00:00,12440.0,12480.0,12440.0,12460.0,7696.50344453
2023-01-01 09:30:00+00:00,12470.0,12480.0,12450.0,12460.0,5868.17849411
2023-01-01 09:45:00+00:00,12460.0,12500.0,12450.0,12490.0,13289.97522546
2023-01-01 10:00:00+00:00,12490.0,12510.0,12470.0,12490.0,5338.14679721
2023-01-01 10:15:00+00:00,12490.0,12510.0,12470.0,12480.0,7947.31864306
2023-01-01 10:30:00+00:00,12480.0,12500.0,12450.0,12460.0,8027.59838959
2023-01-01 10:45:00+00:00,12450.0,12500.0,12450.0,12480.0,4893.22169185
2023-01-01 11:00:00+00:00,12480.0,12640.0,12480.0,12630.0,59603.36478984
2023-01-01 11:15:00+00:00,12640.0,12720.0,12590.0,12610.0,90112.66031283
2023-01-01 11:30:00+00:00,12610.0,12680.0,12580.0,12650.0,19134.52849253
2023-01-01 11:45:00+00:00,12650.0,12670.0,12600.0,12640.0,14375.95886083
2023-01-01 12:00:00+00:00,12630.0,12640.0,12580.0,12600.0,15248.81337953
2023-01-01 12:15:00+00:00,12610.0,12640.0,12590.0,12630.0,11110.54144379
2023-01-01 12:30:00+00:00,12620.0,12640.0,12600.0,12630.0,8585.03466947
2023-01-01 12:45:00+00:00,12630.0,12680.0,12620.0,12660.0,7903.84109822
2023-01-01 13:00:00+00:00,12660.0,12670.0,12610.0,12620.0,10747.26039303
2023-01-01 13:15:00+00:00,12620.0,12630.0,12600.0,12600.0,8736.30224892
2023-01-01 13:30:00+00:00,12600.0,12620.0,12530.0,12530.0,27869.8952244
2023-01-01 13:45:00+00:00,12540.0,12560.0,12490.0,12560.0,38471.58686588
2023-01-01 14:00:00+00:00,12560.0,12590.0,12550.0,12580.0,18971.67804063
2023-01-01 14:15:00+00:00,12580.0,12590.0,12570.0,12590.0,12673.888853
2023-01-01 14:30:00+00:00,12590.0,12600.0,12520.0,12540.0,14928.18944311
2023-01-01 14:45:00+00:00,12530.0,12550.0,12490.0,12540.0,15447.73768265
2023-01-01 15:00:00+00:00,12530.0,12560.0,12510.0,12530.0,15244.94767513
2023-01-01 15:15:00+00:00,12530.0,12570.0,12490.0,12520.0,7528.54310799
2023-01-01 15:30:00+00:00,12520.0,12550.0,12510.0,12540.0,5091.64410691
2023-01-01 15:45:00+00:00,12540.0,12570.0,12490.0,12550.0,11121.18757309
2023-01-01 16:00:00+00:00,12560.0,12610.0,12550.0,12560.0,15544.77627331
2023-01-01 16:15:00+00:00,12560.0,12600.0,12540.0,12600.0,5076.22363784
2023-01-01 16:30:00+00:00,12600.0,12630.0,12570.0,12570.0,7830.59290955
2023-01-01 16:45:00+00:00,12580.0,12610.0,12560.0,12580.0,4219.07829127
2023-01-01 17:00:00+00:00,12580.0,12640.0,12580.0,12620.0,6462.13459708
2023-01-01 17:15:00+00:00,12630.0,12680.0,12610.0,12660.0,10899.71421143
2023-01-01 17:30:00+00:00,12680.0,12680.0,12630.0,12640.0,8235.90059699
2023-01-01 17:45:00+00:00,12640.0,12690.0,12620.0,12680.0,6756.39509382
2023-01-01 18:00:00+00:00,12680.0,12760.0,12670.0,12750.0,21834.44936521
2023-01-01 18:15:00+00:00,12750.0,12780.0,12700.0,12750.0,9662.1591888
2023-01-01 18:30:00+00:00,12750.0,12760.0,12720.0,12720.0,7372.36663815
2023-01-01 18:45:00+00:00,12720.0,12740.0,12690.0,12730.0,4560.39966307
2023-01-01 19:00:00+00:00,12730.0,12750.0,12710.0,12740.0,2341.55857677
2023-01-01 19:15:00+00:00,12750.0,12780.0,12720.0,12760.0,4249.92456569
2023-01-01 19:30:00+00:00,12750.0,12760.0,12710.0,12710.0,3173.3368007
2023-01-01 19:45:00+00:00,12700.0,12720.0,12650.0,12690.0,13320.85672354
2023-01-01 20:00:00+00:00,12690.0,12710.0,12660.0,12710.0,5772.90406089
2023-01-01 20:15:00+00:00,12710.0,12750.0,12700.0,12740.0,4447.93273217
2023-01-01 20:30:00+00:00,12740.0,12760.0,12720.0,12740.0,5531.55600271
2023-01-01 20:45:00+00:00,12730.0,12730.0,12680.0,12690.0,9513.78644796
2023-01-01 21:00:00+00:00,12690.0,12710.0,12650.0,12660.0,8928.72934173
2023-01-01 21:15:00+00:00,12690.0,12710.0,12680.0,12700.0,3374.32301679
2023-01-01 21:30:00+00:00,12700.0,12710.0,12670.0,12670.0,3276.23218658
2023-01-01 21:45:00+00:00,12670.0,12700.0,12660.0,12700.0,4678.8646175
2023-01-01 22:00:00+00:00,12700.0,12720.0,12680.0,12710.0,6180.75440995
2023-01-01 22:15:00+00:00,12710.0,12710.0,12690.0,12690.0,6373.28654819
